"Extension:","Модуль:"
"<strong>%s</strong> (version %s)","<strong>%s</strong> (версия %s)"
"License:","Лицензия:"
"ETWS Free License (EFL1)","ETWS Свободная лицензия (EFL1)"
"ETWS Commercial License (ECL1)","ETWS Коммерческая лицензия (ECL1)"
"Short Description:","Краткое описание:"
"Documentation:","Документация:"
"Additional Information:","Дополнительная информация:"
"Support:","Поддержка:"
"Advertisement:","Реклама:"
"You can view the full list of extension features in <a href=""%s"" target=""_blank"">Our Shop</a> or check for known issues on our <a href=""%s"" target=""_blank"">Documentation Website</a>","Полное описание возможностей модуля смотрите в нашем <a href=""%s"" target=""_blank"">магазине</a>.<br>Список известных проблем можно посмотреть в <a href=""%s"" target=""_blank"">документации</a>"
"You can hire our team to customize the extension. Simply use the issue tracking system or e-mail us to sales@etwebsolutions.com<br><br>Don't forget to check out our websites: <a href=""%s"" target=""_blank"">Services</a> and <a href=""%s"" target=""_blank"">Ready Extensions</a>","Вы можете нанять нашу команду для любых работ по модификации модуля. Для этого используйте систему поддержки или напишите на по адресу sales@etwebsolutions.com<br><br>Не забудьте также посетить наши сайты: Magento <a href=""%s"" target=""_blank"">Услуги</a> и <a href=""%s"" target=""_blank"">Модули</a>"
"Extension support is available via <a href=""%s"" target=""_blank"">issue tracking system</a>.<br><br>Please, report all bugs and feature requests that are related to this extension.<br><br>If, by some reason, you cannot submit a question, bug report, or feature request to our ticket system, you can write us an email to support@etwebsolutions.com","Поддержка модуля осуществляется через <a href=""%s"" target=""_blank"">систему отслеживания заданий</a>.<br><br>Пожалуйста, сообщайте нам о найденных ошибках и о своих пожеланиях в рамках этого модуля.<br><br>Если по каким-либо причинам вы не можете размеситить вопрос/сообщение об ошибке/пожелание в списке задач, то можете написать нам по адресу support@etwebsolutions.com."

"Change Payment Method Information","Информация о модуле Change Payment Method"
"Change Payment Method Settings","Настройки модуля Change Payment Method"
"Enable the ability to change payment method in frontend","Включить возможность смены метода оплаты в пользовательской части"
"Enable the ability to change payment method in admin panel","Включить возможность смены метода оплаты в панели администратора"
"Hide payment methods","Скрыть методы оплаты"
"Change payment method","Сменить метод оплаты"
"Save","Сохранить"
"Choose payment method","Выберите метод оплаты"
"Payment method successfully changed.","Метод оплаты успешно изменён."
"User changed payment method to %s.","Пользователь изменил метод оплаты на %s."
"Can not change payment method.","Невозможно изменить метод оплаты."
"Admin changed payment method to %s.","Администратор изменил метод оплаты на %s."
"Change Payment Method","Cменить Метод Оплаты"

"The selected payment methods will not be available for selection on:<br/>- customer account page (ACCOUNT -> My Account -> MY ORDERS -> VIEW ORDER)<br/>- order view page (Sales -> Orders -> view)<br/>(Only active and configured Payment Methods, available to customers on checkout.)","Выбранные методы оплаты будут недоступны для выбора<br/>- в настройках учетной записи покупателя  (Учётная запись -> Моя учётная запись -> Последние заказы -> Сведения о заказе)<br/>- просмотре заказа администратором магазина (Продажи -> Заказы -> Просмотреть)<br/>(Отображаются только активные и настроенные платёжные методы, доступные покупателям при оформлении заказа.)"
"Notification options","Настройки оповещения"
"Send notification to manager about changed payment method by customer","Отсылать оповещение менеджеру о смене метода оплаты клиентом"
"Changed payment method notification email. Sender","Оповещение о смене метода оплаты. Отправитель"
"Changed payment method notification email. Template","Оповещение о смене метода оплаты. Шаблон"
"Notification about changed payment method by customer","Оповещение об изменении клиеном платёжного метода"
"Recipients are not set","Адресаты не указаны"
"You can change value of this option in section <b>Sales -> Sales Emails -> Order -> Send Order Email Copy To</b>","Вы можете изменить значение данной настройки в секции <b>Продажи -> Письма (emails) о заказах -> Заказ -> Отправить копии письма с подтверждением нового заказа получателям</b>"
"Send notification email to","Послать оповещения на адрес"

"cancel","отмена"

"Online After-Payment Settings","Настройки переоплаты через интернет"
"Enable online after-payments","Включить переоплату через интернет"
"Allows the customer to pay for the order at any moment using the specified online payment method","Позволяет клиенту оплатить неоплаченный заказ в любой момент через выбранный метод онлайн-оплаты"
"Pay now","Оплатить сейчас"
"Pay","Оплатить"
"After-Payments Options","Варианты переоплаты"
"Select the payment methods that allow paying after placing the order. Customers will be able to pay in their account's order list. Only for online payment methods","Выберите варианты предлагаемые для переоплаты. Клиент сможет оплатить эти заказы в списке заказов свой учётной записи (используйте только онлайн-методы)"
"You can change value of this option in section Sales -> Sales Emails -> Order -> Send Order Email Copy To","Вы можете изменить значение этой настройки в Продажи -> Письма (emails) о заказах	-> Заказ -> Отправить копии письма с подтверждением нового заказа получателям"
