"Extension:","Модуль:"
"<strong>%s</strong> (version %s)","<strong>%s</strong> (версия %s)"
"License:","Лицензия:"
"Short Description:","Краткое описание:"
"Additional Information:","Дополнительная информация:"
"Support:","Поддержка:"
"Advertisement:","Реклама:"
"You can view the full list of extension features in <a href=""%s"" target=""_blank"">Our Shop</a> or check for known issues on our <a href=""%s"" target=""_blank"">Documentation Website</a>","Полное описание возможностей модуля смотрите в нашем <a href=""%s"" target=""_blank"">магазине</a>.<br>Список известных проблем можно посмотреть в <a href=""%s"" target=""_blank"">документации</a>"
"You can hire our team to customize the extension. Simply use the issue tracking system or e-mail us to sales@etwebsolutions.com<br><br>Don't forget to check out our websites: <a href=""%s"" target=""_blank"">Services</a> and <a href=""%s"" target=""_blank"">Ready Extensions</a>","Вы можете нанять нашу команду для любых работ по модификации модуля. Для этого используйте систему поддержки или напишите на по адресу sales@etwebsolutions.com<br><br>Не забудьте также посетить наши сайты: Magento <a href=""%s"" target=""_blank"">Услуги</a> и <a href=""%s"" target=""_blank"">Модули</a>"
"Extension support is available via <a href=""%s"" target=""_blank"">issue tracking system</a>.<br><br>Please, report all bugs and feature requests that are related to this extension.<br><br>If, by some reason, you cannot submit a question, bug report, or feature request to our ticket system, you can write us an email to support@etwebsolutions.com","Поддержка модуля осуществляется через <a href=""%s"" target=""_blank"">систему отслеживания заданий</a>.<br><br>Пожалуйста, сообщайте нам о найденных ошибках и о своих пожеланиях в рамках этого модуля.<br><br>Если по каким-либо причинам вы не можете размеситить вопрос/сообщение об ошибке/пожелание в списке задач, то можете написать нам по адресу support@etwebsolutions.com."

"Extension options are available in System -> Configuration -> CUSTOMERS -> Customer Configuration -> reCaptcha","Настройки модуля находятся в Система -> Конфигурация -> КЛИЕНТЫ -> Конфигурация клиента -> reCaptcha"
"Public key","Открытый ключ"
"This key will be added to the site's HTML code.","Этот ключ будет добавлен в HTML-код сайта."
"This key is needed for your site's authentication with Google. Be sure to keep it a secret.","Этот ключ необходим для связи между вашим сайтом и Google. Убедитесь, что этот ключ хранится в тайне."
"If Enabled, technical information will get recorded into a log file /var/log/et_customerrecaptcha/{date}-et_customerrecaptcha.log","Если включён - ведётся запись технической информации в файл журнала /var/log/et_customerrecaptcha/{дата}-et_customerrecaptcha.log"
"Go to reCaptcha settings section","Перейти к секции настроек reCaptcha"
"Settings","Настройки"
"Enables reCaptcha on the customer registration page.","Включает ReCaptcha на странице регистрации клиентов."
"Debugging mode","Режим отладки"
"Customer reCaptcha Options","Настройки модуля reCaptcha"
"Customer reCaptcha Information","Информация о модуле reCaptcha"
"reCAPTCHA failed, are you really human? Try again.","Проверка не удалось, вы действительно человек? Попробуй еще раз."

"Enabled","Включено"
"Access and type settings","Настройки доступов и типа reCAPTCHA"
"Type of captcha","Тип капчи"
"Displayed reCaptcha on customer registration page, if enabled.","Капча будет отображена на странице регистрации, если настройка включена"
"<b>reCaptcha V2</b> - Validates users with an ""I'm not a robot"" checkbox.<br><b>Invisible reCAPTCHA</b> - Validates users in the background. <br>Settings can be viewed on <a href=""https://www.google.com/recaptcha/"" target=""_blank"">Google ReCAPTCHA</a><br>Please make sure that you are specifying CAPTCHA keys particularly for the selected method.","<b>reCaptcha V2</b> - Подтверждение пользователей с помощью флага «Я не робот».<br><b>Invisible reCAPTCHA</b> - Подтверждение пользователей в фоновом режиме.<br>Больше о настройках смотрите в <a href=""https://www.google.com/recaptcha/"" target=""_blank"">Google ReCaptcha</a><br>Пожалуйста, убедитесь, что вы указываете ключи именно для выбранного метода."
"Site key (v2)", "Ключ сайта (v2)"
"Secure key (v2)", "Секретный ключ (v2)"
"Site key (invisible)", "Ключ сайта (invisible)"
"Secure key (invisible)", "Секретный ключ (invisible)"
"Special notes","Особые заметки"
"You can enter a note here, for example which e-mail was used to create the application and other necessary data.","Здесь вы можете вписать данные в качестве памятки. Например, на какой e-mail было зарегистрировано приложение и все необходимые данные."

"Use in forms","Использовать в формах"
"Select in which forms to display reCaptcha. In case reCAPTCHA isn't being displayed check the <a href=""http://doc.etwebsolutions.com/en/instruction/et-customer-recaptcha/recaptcha-not-getting-displayed"" target=""_blank"">extension documentation</a>","Выберите, в каких формах показывать reCaptcha. В случае, если reCAPTCHA не отображается, проверьте <a href=""http://doc.etwebsolutions.com/ru/instruction/et-customer-recaptcha/recaptcha-not-getting-displayed"" target=""_blank"">документацию модуля</a>"
"Style settings","Настройки стилей"
"Documentation","Документация"
"Go to Google documentation","Пройти к документации Google"
"reCAPTCHA theme","Тема для reCAPTCHA"
"Data type","Тип данных"
"reCAPTCHA size","Размер reCAPTCHA"
"Tab index","Tab index"

"Login form","Вход в учётную запись"
"Registration form","Регистрация"
"Forgot password form","Забыли пароль"
"Billing information form","Оформление заказа"
"Product review form","Отзыв о товаре"
"Contact us form","Контактная форма"

"Extension information","Информация о модуле"
"Light","Светлая"
"Dark","Тёмная"
"Image","Изображение"
"Audio","Аудио"
"Normal","Нормальный"
"Compact","Компактный"
