"Extension:","Модуль:"
"<strong>%s</strong> (version %s)","<strong>%s</strong> (версия %s)"
"License:","Лицензия:"
"Short Description:","Краткое описание:"
"Documentation:","Документация:"
"Support:","Поддержка:"
"Advertisement:","Реклама:"
"You can see description of extension features and answers to the frequently asked questions on <a href=""%s"" target=""_blank"">our website</a>.","Описание возможностей модуля и ответы на часто задаваемые вопросы смотрите на <a href=""%s"" target=""_blank"">нашем сайте</a>."
"You can hire our team to customize the extension. E-mail us on sales@etwebsolutions.com.<br><br>You can see a list of provided services on <a href=""%s"" target=""_blank"">our website</a>.","Вы можете нанять нашу команду для любых работ по модификации модуля. Пишите на адрес sales@etwebsolutions.com.<br><br>Со списком предоставляемых нами услуг вы можете ознакомиться <a href=""%s"" target=""_blank"">на нашем сайте</a>."
"Extension support is available through <a href=""%s"" target=""_blank"">issue tracking system</a>.<br>You can see information freely, but you will have to sign up to open a ticket.<br><br>Please, report all bugs and feature requests that are related to this extension.<br><br>If by some reason you can not submit a question, bug report or feature request to our ticket system, you can write us an email - support@etwebsolutions.com.","Поддержка модуля осуществляется через <a href=""%s"" target=""_blank"">систему отслеживания заданий</a>.<br>Для создания задачи будет необходимо зарегистрироваться. Для просмотра информации регистрация не требуется.<br><br>Пожалуйста, сообщайте нам о найденных ошибках и о своих пожеланиях в рамках этого модуля.<br><br>Если по каким-либо причинам вы не можете размеситить вопрос/сообщение об ошибке/пожелание в списке задач, то можете написать нам по адресу support@etwebsolutions.com."
"Omniva Delivery information","Информация о модуле Omniva Delivery"
"Omniva Delivery Options","Настройки модуля Omniva Delivery"
"Settings","Настройки"
"Extension information available in System -> Configuration -> ET Extensions -> Omniva Delivery","Информация о модуле доступна в меню Система -> Конфигурация -> ET Extensions -> Omniva Delivery"
"Module information","Информация о модуле"
"Go to Omniva Delivery module information section","Перейти к секции информации о модуле ET Omniva Delivery"
"Enabled","Включено"
"Title","Заголовок"
"Packomats information","Информация о пакоматах"
"City","Город"
"Name","Название"
"Address","Адрес"
"Price","Цена"
"Save Item","Сохранить объект"
"Delete Item","Удалить объект"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Add Item","Добавить объект"
"Edit Item %s","Изменить объект %s"
"omniva packomats","пакоматы"
"Packomat information","Информация о пакомате"
"Item was successfully saved","Объект успешно сохранён"
"Unable to find item to save","Не удалось найти объект для сохранения"
"Item was successfully deleted","Объект успешно удалён"
"Packomat address","Адрес пакомата"
"Omniva Delivery - Deliver to Omniva packomat","Доставка Omniva - Доставить к пакомату Omniva"
"Please select packomat address","Пожалуйста выберите адрес пакомата"
"Maximum weight, kg","Максимальный вес, кг"
"Debug options","Настройки отладки"
"Handling price","Стоимость обработки"
"VAT multiplier","Множитель НДС"
"For example, 1.21 results in 21% VAT, 1.25 in 25%, etc.","К примеру, 1.21 добавляет 21% НДС, 1.25 — 25% и т.д."
"Debug mode","Режим отладки"

"Enabled for Checkout","Включено для заказа"
"Gateway URL","URL шлюза"
"Secure Gateway URL","Безопасный URL шлюза"
"User ID","ИД пользователя"
"Password","Пароль"
"Mode","Режим"

"Packages Request Type","Packages Request Type"
"Container","Контейнер"
"Size","Размер"
"Machinable","Machinable"
"Calculate Handling Fee","Рассчитать стоимость обработки"
"Handling Applied","Handling Applied"
"Handling Fee","Плата за обработку"
"Allowed Methods","Разрешённые методы"
"Free Method","Бесплатный метод"
"Minimum Order Amount for Free Shipping","Минимальная сумма заказа для бесплатной доставки"
"Error Message Contents","Отображаемое сообщение об ошибке"
"Ship to Applicable Countries","Включить доставку в"
"Ship to Specific Countries","Доставить в определённые страны"
"Debug","Отладка"
"Show Method if Not Applicable","Показывать метод, если не доступен"
"Sort order","Порядок сортировки"
"Free Shipping with Minimum Order Amount","Бесплатная доставка с минимальной суммой заказа"
"Method name","Название метода"
"Price for shipping","Цена за доставку"
"Shipping price. Latvia","Цена за доставку. Латвия"
"Shipping price. Lithuania","Цена за доставку. Литва"
"Shipping price. Estonia","Цена за доставку. Эстония"
"Income/fuel coefficient","Прибыль/топливный коэффициент"
"All Allowed Countries","Все разрешённые страны"
"Current server time","Время сервера"
"Start Time","Время запуска"
"Is pickup method","Самовывоз"

"Automatic Address Update Settings","Настройки автоматического обновления списка адресов"
"Delivery point addresses will be updated automatically every day","Данные адресов точек доставки будут обновляться автоматически ежедневно"
"Every day at this time, the address will be updated automatically","Ежедневно в указанное время, адреса будут обновляться атвтоматически"
"If Enabled - technical information records into a log file /var/log/et_deliveryomniva/{date}-et_deliveryomniva.log","Если включено, то техническая информация будет записываться в файл /var/log/et_deliveryomniva/{дата}-et_deliveryomniva.log"
"Extension options available in System -> Configuration -> Sales -> Shipping Methods -> Omniva by ET Web Solutions","Настройки модуля доступны в Система -> Конфигурация -> Продажи -> Методы доставки -> Omniva by ET Web Solutions"
"Go to Shipping Methods settings section","Перейти к настройкам методов доставки"

"Omniva Data XML Exchange","Обмен XML данными с Omniva"
"Login","Логин"
"Test mode","Режим тестирования"

"Manage Costs","Управление Ценами"
"Omniva Courier: Weight/Zone Cost Manager","Omniva Courier: Управление Ценами/Зонами"
"Country","Страна"
"Cost per 1st zone","Цена доставки в 1-ю зону"
"Cost per 2nd zone","Цена доставки во 2-ю зону"
"Cost per 3rd zone","Цена доставки в 3-ю зону"
"Cost per 4th zone","Цена доставки в 4-ю зону"
"Weight","Вес"
"Weight, kg","Вес, кг"

"Manage Indexes/Zones","Управление Индексами/Зонами"
"Omniva Courier: Zones/Indexes","Omniva Courier: Зоны/Индексы"
"Index","Индекс"
"Zone","Зона"
"Note","Примечание"

"Manage Pakomats Information","Управление Пакоматами"
"Update Locations","Обновить данные"

"Attention:","Внимание:"
"The address list is provided by Omniva.","Список адресов предоставляется курьерской службой Omniva."
"Last update: ","Последнее обновление: "

"Add New","Добавить"
"Upload","Загрузить файл"
"Active","Активно"

"Item information","Информация"
"Costs","Цены"
"Import","Импортировать"
"Reset data","Сбросить данные"
"File","Файл"

"Settings","Настройки"
"Go to packomats information","Перейти к информации о пакоматах"
"Packomat selection method","Метод выбора пакоматов"
