"Extension:","Модуль:"
"<strong>%s</strong> (version %s)","<strong>%s</strong> (версия %s)"
"License:","Лицензия:"
"Short Description:","Краткое описание:"
"Documentation:","Документация:"
"Support:","Поддержка:"
"Advertisement:","Реклама:"
"You can see description of extension features and answers to the frequently asked questions on <a href=""%s"" target=""_blank"">our website</a>.","Описание возможностей модуля и ответы на часто задаваемые вопросы смотрите на <a href=""%s"" target=""_blank"">нашем сайте</a>."
"You can hire our team to customize the extension. E-mail us on sales@etwebsolutions.com.<br><br>You can see a list of provided services on <a href=""%s"" target=""_blank"">our website</a>.","Вы можете нанять нашу команду для любых работ по модификации модуля. Пишите на адрес sales@etwebsolutions.com.<br><br>Со списком предоставляемых нами услуг вы можете ознакомиться <a href=""%s"" target=""_blank"">на нашем сайте</a>."
"Extension support is available through <a href=""%s"" target=""_blank"">issue tracking system</a>.<br>You can see information freely, but you will have to sign up to open a ticket.<br><br>Please, report all bugs and feature requests that are related to this extension.<br><br>If by some reason you can not submit a question, bug report or feature request to our ticket system, you can write us an email - support@etwebsolutions.com.","Поддержка модуля осуществляется через <a href=""%s"" target=""_blank"">систему отслеживания заданий</a>.<br>Для создания задачи будет необходимо зарегистрироваться. Для просмотра информации регистрация не требуется.<br><br>Пожалуйста, сообщайте нам о найденных ошибках и о своих пожеланиях в рамках этого модуля.<br><br>Если по каким-либо причинам вы не можете размеситить вопрос/сообщение об ошибке/пожелание в списке задач, то можете написать нам по адресу support@etwebsolutions.com."

"Payment Extra Charge information","Информация о модуле Комиссия платёжной системы"
"Payment Extra Charge Options","Настройки модуля Комиссия платёжной системы"
"Settings","Настройки"

"Fixed","Фиксированное значение"
"Percentage of subtotal","Процент от предварительного итога"
"Percentage of subtotal + discount","Процент от предварительного итога со скидкой"
"Percentage of grand total including extra charge","Процент от конечной суммы заказа включая наценку"
"Percentage of grand total excluding extra charge","Процент от конечной суммы заказа исключая наценку"

"Go to Payment Extra Charge settings section","Перейти к настройкам модуля Payment Extra Charge"
"Payment extra charge","Комиссия платёжной системы"
"Enabled","Включено"
"Total title","Заголовок строки итога"

"Round total to","Округлить итог до"
"Do not round","Не округлять"
"One decimal place","Один знак после запятой"
"Two decimal places","Два знака после запятой"
"Integer","Целое число"
"Example: You can display extra charge total without rounding 43.28, round it to one decimal 43.30 or round to integer value 43.00.","Пример: Вы можете вывести наценку без округления 43.28, округлить до 1 знака после запятой 43.30 или округлить до целого числа 43.00."
"Example: You can round extra charge total to two decimals 43.28, round it to one decimal 43.30 or round to integer value 43.00.","Пример: Вы можете округлить наценку до 2 знаков после запятой 43.28, округлить до 1 знака после запятой 43.30 или округлить до целого числа 43.00."

"Add extra charge for payment","Добавить коммиссию для платёжного метода"
"Remove","Удалить"
"Payment method","Платёжный метод"
"Extra charge value","Величина коммисии"
"Extra charge type","Тип коммисии"
"Action","Действия"
"* Select payment method","* Выберите платёжный метод"
"Total title for payment method","Заголовок строки итога для конкретного платёжного метода"
"Add new total title","Добавить новый заголовок строки итога"

"Yes","Да"
"No","Нет"

"Tax settings","Настройки налога"
"Excluding Tax","Исключая налог"
"Including Tax","Включая налог"
"Including and Excluding Tax","Включая и Исключая налог"
"Tax Class","Класс налога"
"Extra charge calculation","Вычисление комиссии"
"Extra charge display","Показывать комиссию"
"Extra charge display. Shopping Cart","Показывать комиссию. Корзина"
"Extra charge display. Orders, Invoices, Credit Memos","Показывать комиссию. Заказы, Счета, Возвраты платежей."
"(Excl. Tax)","(без налога)"
"(Incl. Tax)","(включая налог)"

"Extra charge fixed value","Фиксированное значение комиссии"
"Extra charge percent value","Процентное значение комиссии"
"Extra charge percent type","Тип процентной коммисии"
"Extra charge for Country","Наценка для стран"

"More information about extra charge percent type see <a href=""http://shop.etwebsolutions.com/eng/et-payment-extra-charge.html"" target=""_blank"">on extension page</a>.<br>Extra charge consists from ""Fixed value"" + ""Percent value"".<br>Example: PayPal charges merchant for a fee = 0,35 EUR + 4% (rates are different for each merchant).","Подробнее о типе процентной комиссии смотрите <a href=""http://shop.etwebsolutions.com/rus/et-payment-extra-charge.html"" target=""_blank"">на странице модуля</a>.<br>Комиссия состоит из ""Фиксированное значение"" + ""Процентное значение"".<br>Пример: PayPal берёт с продавца комиссию = 0,35 EUR + 4% (тарифы для каждого продавца отличаются)."

"Advanced Settings","Дополнительные настройки"
"Fix tax summary display for old versions","Исправить отображение сводки по налогам для старых версий"
"Fix multiple additional totals","Исправить несколько дополнительных итогов"
"If tax full summary is enabled on the website (System->Configuration->Sales->Tax->Orders, Invoices, Credit Memos Display Settings->Display Full Tax Summary) then some of the totals can be wrong on the old Magento versions (1.6.x and lower). If you've met this problem, enable this setting.","Если на сайте используется отображение полной сводки по налогам (Система->Конфигурация->Продажи->Налоги->Настройки отображения заказов, счетов, возвратов платежей->Отображать полную сводку по налогам), то на старых версиях Magento (1.6.x и ниже) часть сумм может быть не корректной, из-за добавления комиссии. Если у вас такой случай, включите эту настройку."
"When several additional totals are being added to Magento, the grand total can be calculated wrong due to the bug in Magento core. If you have several extensions on your website that add an additional total and grand total is wrong, enable this setting. You can read more about this problem <a href=""http://stackoverflow.com/questions/9194281/sort-algorithm-magento-checkout-totals-sorted-wrongly-causing-wrong-shipping-ta"" target=""_blank"">here</a>","При добавлении нескольких дополнительных итогов в Magento, из-за ошибки в ядре, нарушается вычисление конечной суммы заказа. Если у вас установлено несколько модулей, добавляющих свои итоги и сумма заказа считается неверно, включите эту опцию. Подробнее о проблеме можно <a href=""http://stackoverflow.com/questions/9194281/sort-algorithm-magento-checkout-totals-sorted-wrongly-causing-wrong-shipping-ta"" target=""_blank"">прочитать тут</a>."

"Fix invoice totals for configurable products","Исправить счёт для конфигурационных товаров"
"Invoice totals containing configurable products may be different from the totals of the order. If you've met this problem, enable this setting.","Если заказ содержит конфигурационные товары, то налоги и итоговая сумма в счете может отличаться от сумм, указанных в заказе. Если у вас такой случай, включите эту настройку."
