"Extension:","Модуль:"
"<strong>%s</strong> (version %s)","<strong>%s</strong> (версия %s)"
"License:","Лицензия:"
"Short Description:","Краткое описание:"
"Additional Information:","Дополнительная информация:"
"Support:","Поддержка:"
"Advertisement:","Реклама:"
"You can view the full list of extension features in <a href=""%s"" target=""_blank"">Our Shop</a> or check for known issues on our <a href=""%s"" target=""_blank"">Documentation Website</a>","Полное описание возможностей модуля смотрите в нашем <a href=""%s"" target=""_blank"">магазине</a>.<br>Список известных проблем можно посмотреть в <a href=""%s"" target=""_blank"">документации</a>"
"You can hire our team to customize the extension. Simply use the issue tracking system or e-mail us to sales@etwebsolutions.com<br><br>Don't forget to check out our websites: <a href=""%s"" target=""_blank"">Services</a> and <a href=""%s"" target=""_blank"">Ready Extensions</a>","Вы можете нанять нашу команду для любых работ по модификации модуля. Для этого используйте систему поддержки или напишите на по адресу sales@etwebsolutions.com<br><br>Не забудьте также посетить наши сайты: Magento <a href=""%s"" target=""_blank"">Услуги</a> и <a href=""%s"" target=""_blank"">Модули</a>"
"Extension support is available via <a href=""%s"" target=""_blank"">issue tracking system</a>.<br><br>Please, report all bugs and feature requests that are related to this extension.<br><br>If, by some reason, you cannot submit a question, bug report, or feature request to our ticket system, you can write us an email to support@etwebsolutions.com","Поддержка модуля осуществляется через <a href=""%s"" target=""_blank"">систему отслеживания заданий</a>.<br><br>Пожалуйста, сообщайте нам о найденных ошибках и о своих пожеланиях в рамках этого модуля.<br><br>Если по каким-либо причинам вы не можете размеситить вопрос/сообщение об ошибке/пожелание в списке задач, то можете написать нам по адресу support@etwebsolutions.com."

"ET Feed Yandex Market","ET Feed Yandex Market"
"Yandex Market Feed information","Информация о модуле Яндекс.Маркет YML"

"Yandex Market Feed settings","Настройки модуля Яндекс.Маркет YML"
"Enabled","Включено"
"Shop details","Информация о магазине"
"Store name","Название магазина"
"Visible to customers on Yandex Market. Maximum 20 symbols. <br> <a href=""http://help.yandex.ru/partnermarket/?id=1111479"" target=""_blank"">More info on Yandex Page</a>","Отображается посетителям. Максимум 20 символов. <br> <a href=""http://help.yandex.ru/partnermarket/?id=1111479"" target=""_blank"">Подробнее в документации Яндекса</a>"
"Company name","Название компании"
"Not visible to customers. For internal Yandex identification.","Не публикуется. Для внутренней идентификации Яндекса."
"Agency","Тех. поддержка"
"Website support agency","Наименование агентства, которое оказывает техническую поддержку магазину и отвечает за работоспособность сайта."
"Agency e-mail","Почта тех.поддержки"
"Support Agency contact e-mail","Контактный адрес разработчиков CMS или агентства, осуществляющего техподдержку."
"Product export settings","Настройки экспорта товаров"
"Product export filters","Фильтры экспорта товаров"
"Export out of stock products","Экспортировать товары, которых нет в наличии"
"Default values in yml","Значения по умолчанию в yml"
"Default BID","BID по умолчанию"
"Default CBID","CBID по умолчанию"
"This value will be used if the product has no bid value. Example: 10 for 0.10 money, 20 for 0.20 money... Default: 1. <br> <a href=""https://yandex.com/support/partnermarket/yml-auction.html"" target=""_blank"">More info on Yandex</a>","Это значение будет использоваться для товаров, у которых bid не указан. Пример: 10 для 0.10 у.е., 25 для 0.25 у.е... По умолчанию 1. <br> <a href=""https://yandex.ru/support/partnermarket/yml-auction.html"" target=""_blank"">Больше информации в Яндексе"
"This value will be used if the product has no cbid value. Example: 10 for 0.10 money, 20 for 0.20 money... Default: 1. <br> <a href=""https://yandex.com/support/partnermarket/yml-auction.html"" target=""_blank"">More info on Yandex Page</a>","Это значение будет использоваться для товаров, у которых cbid не указан. Пример: 10 для 0.10 у.е., 25 для 0.25 у.е... По умолчанию 1. <br> <a href=""https://yandex.ru/support/partnermarket/yml-auction.html"" target=""_blank"">Больше информации в Яндексе"
"Default local delivery cost","Значение по умолчанию стоимости доставки по региону"

"vendor.model","Произвольный товар"
"artist.title","Музыкальная и видео продукция"
"tour","Туры"
"book","Книги"
"audiobook","Аудиокниги"
"event-ticket","Билеты на мероприятие"
"simple","Упрощенное описание"

"Enable free delivery","Включить бесплатную доставку"
"Free delivery if price greater","Бесплатная доставка, если цена больше или равна"
"Free delivery for products if price is greater or equal that this value. If 0 or not numeric value - all products will be with free delivery.","Бесплатная доставка, если цена товара равна или больше этого значения. Если значение 0 или не цифровое - все товары будут с бесплатной доставкой."
"Buy on Market", "Покупка в Маркете"
"Export to Yandex Market","Экспортировать в Яндекс Маркет"
"Exclude from export to Yandex Market","Исключить из экспорта в Яндекс Маркет"
"Offer type","Тип описания предложения"

"Name*","Название*"
"Model*","Модель*"
"Description","Описание"
"Vendor","Производитель"
"Vendor*","Производитель*"
"Delivery","Доставка"
"Pickup","Самовывоз"
"Local delivery cost","Доставка по региону"
"Vendor code","Код производителя"
"Manufacturer warranty","Гарантия производителя"
"Country of origin","Страна - производитель"
"Barcode","Штрихкод"
"Product group / category","Группа товаров / категория"
"Seller warranty","Гарантия продавца"
"Weight","Вес"
"Dimensions","Размеры"

"Yandex Market Xml Files","Xml файлы Яндекс.Маркет"
"Add Xml File","Добавить Xml файл"
"Edit Xml File Options","Редактирование параметров Xml файла"
"Filename","Название файла"
"Path","Путь"
"External Link","Внешняя ссылка"
"Last Time Generated","Последнее создание"
"Last Request To The File","Последнее обращение к файлу"
"Generation Time","Время генерации файла"
"Product Count","Количесто товаров"
"Store View","Представление магазина"
"Action","Действие"
"Generate","Сгенерировать"
"From","С"
"To","До"
"Delete","Удалить"
"Are you sure?","Вы уверены?"

"Xml File Options","Параметры Xml Файла"
"example: products.xml","пример: products.xml"
"example: ""xmlfeeds/"" or ""/"" for base path (path must be writable)","пример: ""xmlfeeds/"" или ""/"" для базового пути (нужны права для записи)"
"Product attribute values will be taken from selected store view","Значения атрибутов товара будут взяты из указанного представления магазина"

"New Xml File","Новый Xml файл"
"This xml file no longer exists.","Данного Xml файла уже не существует."
"The Xml file data has been saved.","Данные Xml файла сохранены."
"The Xml file ""%s"" has been generated.","Xml файл ""%s"" сгенерирован."
"Error while generating Xml file: %s.","Ошибка при генерации Xml файла. %s"
"Unable to generate Xml file.","Невозможно сгенерировать Xml файл."
"Unable to find a Xml file to generate.","Невозможно найти Xml файл для генерации."
"The Xml file has been deleted.","Xml файл удалён."
